Zona,Region_Comercial,Subregion_Comercial,Locacion_Comercial,AGRUP_PIVO,CANAL,Marca,Tamano,EMPAQUE,Retornable,Agrup_Producto,SKU,MES,MES_CUOTA, AL_CUOTA ,AL_VENTA_2017,AL_VENTA_2018,AL_VENTA_2019,YEAR_2018,YEAR_2019
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,VERTICAL,VERTICAL,INCA-KOLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,INCA-KOLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,903.492,903.496,940.9914,1430.7718,1137.0193,5076.3868,4479.9202
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,VERTICAL,VERTICAL,INCA-KOLA,FAMILIAR,2.25 LTS,NO RETORNABLE,GASEOSAS,INCA-KOLA FAMILIAR 2.25 LTS NO RETORNABLE,ABRIL,8570.742,8570.749,8039.85443,8558.964,10713.0692,46083.4359,48828.7709
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,VERTICAL,VERTICAL,INCA-KOLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,INCA-KOLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,365.218,365.223,194.4328,400.4893,445.9274,1847.1116,2222.2401
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,VERTICAL,VERTICAL,INCA-KOLA,FAMILIAR,1.5 LTS.,NO RETORNABLE,GASEOSAS,INCA-KOLA FAMILIAR 1.5 LTS. NO RETORNABLE,ABRIL,3.271,3.27,39.0991,7.9255,3.1702,120.4675,20.6063
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,VERTICAL,VERTICAL,FANTA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,FANTA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,168.116,168.113,331.8038,367.7316,109.8968,1600.9005,854.8703
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,VERTICAL,VERTICAL,FANTA,FAMILIAR,2.25 LTS,NO RETORNABLE,GASEOSAS,FANTA FAMILIAR 2.25 LTS NO RETORNABLE,ABRIL,478.78,478.778,368.528,771.5312,439.856,3793.8571,2139.84
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,VERTICAL,VERTICAL,CRUSH,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,CRUSH FAMILIAR 3 LTS NO RETORNABLE,ABRIL,20.755,20.744,150.0514,31.701,4.2268,88.7628,44.3814
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,VERTICAL,VERTICAL,COCA-COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA-COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,698.628,698.626,784.5998,1280.7204,1039.7928,4297.5989,4421.2328
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,VERTICAL,VERTICAL,COCA-COLA,FAMILIAR,2.25 LTS,NO RETORNABLE,GASEOSAS,COCA-COLA FAMILIAR 2.25 LTS NO RETORNABLE,ABRIL,6617.379,6617.37,6012.95041,6229.7083,8426.2144,29401.7979,36834.968
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,VERTICAL,VERTICAL,COCA-COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA-COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,386.155,386.148,194.4328,286.3657,474.4583,1527.9882,2108.1165
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,VERTICAL,VERTICAL,COCA-COLA,FAMILIAR,1.5 LTS.,NO RETORNABLE,GASEOSAS,COCA-COLA FAMILIAR 1.5 LTS. NO RETORNABLE,ABRIL,1.123,1.124,25.3616,4.7553,3.1702,76.0847,12.6808
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,TRADICIONAL,HORIZONTAL,SCHWEPPES,FAMILIAR,1.5 LTS.,NO RETORNABLE,GASEOSAS,SCHWEPPES FAMILIAR 1.5 LTS. NO RETORNABLE,ABRIL,104.259,98.549,99.8612,69.7443,72.122,373.2909,408.9556
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,TRADICIONAL,HORIZONTAL,MIXTOS,FAMILIAR,2.25 LTS,NO RETORNABLE,GASEOSAS,MIXTOS FAMILIAR 2.25 LTS NO RETORNABLE,ABRIL,,,,,,701.7878,21.3984
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,TRADICIONAL,HORIZONTAL,INCA-KOLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,INCA-KOLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,6811.714,6779.033,8366.953,8365.8962,7191.9308,36982.9256,32005.9783
REGION SUR,REGION SUR,Sub. Tacna,87 CAMPOLI TACNA,TRADICIONAL,HORIZONTAL,INCA-KOLA,FAMILIAR,2.25 LTS,NO RETORNABLE,GASEOSAS,INCA-KOLA FAMILIAR 2.25 LTS NO RETORNABLE,ABRIL,25168.173,24788.812,26297.44491,28717.8417,23527.9364,128982.4234,115560.0589
