Region_Comercial,Subregion_Comercial,Locacion_Comercial,AGRUP_PIVO,CANAL,Marca,Tamano,EMPAQUE,Retornable,Agrup_Producto,SKU,MES,MES_CUOTA, AL_CUOTA ,AL_VENTA_2017,AL_VENTA_2018,AL_VENTA_2019,YEAR_2018,YEAR_2019
REGION SUR,Sub. Arequipa,40 AYA CHALA,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,0,0,1,0,0,14,0
REGION SUR,Sub. Arequipa,38 AYA ATICO ,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,18,18,6,16,25,104,82
REGION SUR,Sub. Arequipa,38 AYA ATICO ,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,181,181,180,136,154,734,623
REGION SUR,Sub. Arequipa,38 AYA ATICO ,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,4,4,8,5,4,20,22
REGION SUR,Sub. Arequipa,06 AYA EL PEDREGAL,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,76,76,40,75,78,273,276
REGION SUR,Sub. Arequipa,06 AYA EL PEDREGAL,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,321,321,94,161,163,682,621
REGION SUR,Sub. Arequipa,06 AYA EL PEDREGAL,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,469,469,333,413,407,1633,1484
REGION SUR,Sub. Arequipa,06 AYA EL PEDREGAL,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,7,7,11,10,4,57,18
REGION MODERNO,CUENTAS CLAVES,REPSOL,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,10,10,6,5,15,43,60
REGION MODERNO,CUENTAS CLAVES,PRIMAX,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,37,37,2,13,58,3821,175
REGION MODERNO,CUENTAS CLAVES,PIZZA HUT,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,0,0,0,0,0,0,0
REGION MODERNO,CUENTAS CLAVES,PECSA,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,7,7,0,0,14,0,49
REGION MODERNO,CUENTAS CLAVES,OTROS IYN 3,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,1,1,0,0,11,0,13
REGION MODERNO,CUENTAS CLAVES,OTROS CS,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,5,5,1,3,4,7,11
REGION MODERNO,AUTOSERVICIOS,TOTTUS,SS Y HH ,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,632,632,280,608,472,2555,1898
REGION MODERNO,AUTOSERVICIOS,SP SA,SS Y HH ,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,1060,1060,499,747,1280,2300,6140
REGION MODERNO,AUTOSERVICIOS,METRO,SS Y HH ,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,194,194,88,311,346,1466,1094
REGION NORTE,Sub. Piura,I8 ECOBESA PIURA,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,26,26,11,19,21,96,97
REGION NORTE,Sub. Piura,I8 ECOBESA PIURA,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,165,165,110,67,197,319,702
REGION NORTE,Sub. Piura,I8 ECOBESA PIURA,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,689,688,676,558,786,2329,3057
REGION NORTE,Sub. Piura,I8 ECOBESA PIURA,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,127,128,88,137,212,441,727
REGION NORTE,Sub. Piura,66 SOL NACIENTE TUMBES,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,17,17,11,7,35,34,91
REGION NORTE,Sub. Piura,66 SOL NACIENTE TUMBES,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,33,33,14,24,1,77,77
REGION NORTE,Sub. Piura,66 SOL NACIENTE TUMBES,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,557,557,311,355,645,1422,2217
REGION NORTE,Sub. Piura,66 SOL NACIENTE TUMBES,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,56,56,38,31,52,254,191
REGION NORTE,Sub. Lambayeque,I7 ECOBESA CHICLAYO,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,264,262,136,242,395,765,1291
REGION NORTE,Sub. Lambayeque,I7 ECOBESA CHICLAYO,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,405,405,410,287,912,1195,2564
REGION NORTE,Sub. Lambayeque,I7 ECOBESA CHICLAYO,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,1434,1436,1541,1212,1332,5487,5988
REGION NORTE,Sub. Lambayeque,I7 ECOBESA CHICLAYO,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,186,186,83,114,197,599,756
REGION NORTE,Sub. Lambayeque,94 ALPER JAEN,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,2,2,5,3,12,7,25
REGION NORTE,Sub. Lambayeque,94 ALPER JAEN,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,31,31,108,90,25,420,180
REGION NORTE,Sub. Lambayeque,94 ALPER JAEN,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,117,117,154,123,187,572,581
REGION NORTE,Sub. Lambayeque,94 ALPER JAEN,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,1,1,8,0,14,14,21
REGION NORTE,Sub. Lambayeque,59 LINARES CAJAMARCA,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,73,73,41,58,67,256,255
REGION NORTE,Sub. Lambayeque,59 LINARES CAJAMARCA,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,539,539,341,365,501,1809,2387
REGION NORTE,Sub. Lambayeque,59 LINARES CAJAMARCA,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,806,806,724,736,664,3309,3086
REGION NORTE,Sub. Lambayeque,59 LINARES CAJAMARCA,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,49,49,18,34,46,123,209
REGION NORTE,Sub. Lambayeque,45 DIAZ RUIZ CHOTA,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,1,1,1,0,1,1,3
REGION NORTE,Sub. Lambayeque,45 DIAZ RUIZ CHOTA,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,13,13,4,10,21,34,87
REGION NORTE,Sub. Lambayeque,45 DIAZ RUIZ CHOTA,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,21,21,23,38,35,132,105
REGION NORTE,Sub. Lambayeque,45 DIAZ RUIZ CHOTA,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,13,13,13,13,18,76,63
REGION NORTE,Sub. La Libertad,B1 CESARIS HUAMACHUCO,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,0,0,0,51,0,61,0
REGION NORTE,Sub. La Libertad,B1 CESARIS HUAMACHUCO,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,0,0,0,12,0,36,0
REGION NORTE,Sub. La Libertad,49 REGZA CHOCOPE,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,15,15,16,20,11,73,58
REGION NORTE,Sub. La Libertad,49 REGZA CHOCOPE,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,42,42,8,15,23,129,159
REGION NORTE,Sub. La Libertad,49 REGZA CHOCOPE,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,122,121,329,192,133,847,578
REGION NORTE,Sub. La Libertad,49 REGZA CHOCOPE,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,10,10,14,11,16,49,50
REGION NORTE,Sub. La Libertad,48 REGZA PACASMAYO,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,4,4,7,5,5,25,20
REGION NORTE,Sub. La Libertad,48 REGZA PACASMAYO,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,42,42,48,71,54,178,227
REGION NORTE,Sub. La Libertad,48 REGZA PACASMAYO,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,178,178,240,234,202,1042,786
REGION NORTE,Sub. La Libertad,48 REGZA PACASMAYO,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,30,30,20,13,10,61,83
REGION NORTE,Sub. La Libertad,43 PMA TRUJILLO,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,39,39,52,68,57,270,211
REGION NORTE,Sub. La Libertad,43 PMA TRUJILLO,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,257,257,331,207,325,1195,1403
REGION NORTE,Sub. La Libertad,43 PMA TRUJILLO,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,862,862,949,935,909,3737,3867
REGION NORTE,Sub. La Libertad,43 PMA TRUJILLO,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,52,52,53,57,58,201,223
REGION NORTE,Sub. Ancash,68 PMA CHIMBOTE,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,38,37,22,24,34,102,156
REGION NORTE,Sub. Ancash,68 PMA CHIMBOTE,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,419,419,440,333,315,1443,1503
REGION NORTE,Sub. Ancash,68 PMA CHIMBOTE,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,291,292,341,387,269,1514,1257
REGION NORTE,Sub. Ancash,68 PMA CHIMBOTE,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,23,23,24,41,36,197,139
REGION NORTE,Sub. Ancash,61 BAJOPONTINA HUARAZ,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,11,11,18,14,15,43,56
REGION NORTE,Sub. Ancash,61 BAJOPONTINA HUARAZ,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,245,245,168,185,229,669,832
REGION NORTE,Sub. Ancash,61 BAJOPONTINA HUARAZ,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,292,292,300,296,378,1219,1342
REGION NORTE,Sub. Ancash,61 BAJOPONTINA HUARAZ,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,59,59,27,39,43,156,202
REGION MODERNO,CUENTAS CLAVES,REPSOL,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,17,17,0,8,21,25,94
REGION MODERNO,CUENTAS CLAVES,PRIMAX,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,201,201,155,199,227,9791,811
REGION MODERNO,CUENTAS CLAVES,PECSA,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,33,33,0,0,56,0,178
REGION MODERNO,CUENTAS CLAVES,OTROS CS,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,1,1,0,0,0,0,6
REGION MODERNO,AUTOSERVICIOS,WONG,SS Y HH ,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,58,58,15,44,146,256,519
REGION MODERNO,AUTOSERVICIOS,TOTTUS,SS Y HH ,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,838,838,1179,617,905,3594,3170
REGION MODERNO,AUTOSERVICIOS,SP SA,SS Y HH ,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,812,812,543,574,1062,2239,4276
REGION MODERNO,AUTOSERVICIOS,METRO,SS Y HH ,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,322,322,172,347,522,2156,2245
REGION MODERNO,CUENTAS CLAVES,TAMBO,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,9125,9125,454,3321,7154,13308,30273
REGION MODERNO,CUENTAS CLAVES,ROKY'S,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,9,9,0,6,0,36,13
REGION MODERNO,CUENTAS CLAVES,REPSOL,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,351,351,4,49,75,288,557
REGION MODERNO,CUENTAS CLAVES,PRIMAX,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,755,755,96,328,726,30652,2922
REGION MODERNO,CUENTAS CLAVES,PIZZA HUT,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,0,0,24,0,0,20,0
REGION MODERNO,CUENTAS CLAVES,PETROPERU,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,26,26,8,14,42,62,206
REGION MODERNO,CUENTAS CLAVES,PECSA,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,237,237,0,1,205,1,935
REGION MODERNO,CUENTAS CLAVES,OXXO,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,628,628,0,0,465,0,1486
REGION MODERNO,CUENTAS CLAVES,OTROS OP4,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,0,0,0,0,0,0,0
REGION MODERNO,CUENTAS CLAVES,OTROS OP3,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,0,0,0,0,0,0,0
REGION MODERNO,CUENTAS CLAVES,OTROS OP2,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,7,7,0,0,0,0,12
REGION MODERNO,CUENTAS CLAVES,OTROS IYN 3,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,13,13,0,25,17,68,63
REGION MODERNO,CUENTAS CLAVES,OTROS IYN 2,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,0,0,0,0,2,0,7
REGION MODERNO,CUENTAS CLAVES,OTROS CS,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,86,86,34,48,93,171,357
REGION MODERNO,CUENTAS CLAVES,OTROS AYM,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,10,10,26,141,7,566,48
REGION MODERNO,CUENTAS CLAVES,NORKYS,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,429,429,0,0,18,0,234
REGION MODERNO,CUENTAS CLAVES,KA CORPORATIVO,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,0,0,0,0,0,0,0
REGION MODERNO,CUENTAS CLAVES,INDELFI,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,0,0,0,0,0,0,0
REGION MODERNO,CUENTAS CLAVES,GAZEL,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,37,37,3,5,38,26,157
REGION MODERNO,CUENTAS CLAVES,ENERGIGAS,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,47,47,5,33,48,243,191
REGION MODERNO,CUENTAS CLAVES,EL CORRALITO,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,0,0,0,0,0,0,3
REGION MODERNO,CUENTAS CLAVES,CANDY MARKET,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,42,42,0,63,46,280,198
REGION MODERNO,AUTOSERVICIOS,WONG,SS Y HH ,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,1408,1408,812,1328,1934,6331,8219
REGION MODERNO,AUTOSERVICIOS,TOTTUS,SS Y HH ,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,3158,3158,3767,3426,3640,16862,13881
REGION MODERNO,AUTOSERVICIOS,SP SA,SS Y HH ,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,6993,6993,3563,5234,7095,20550,32467
REGION MODERNO,AUTOSERVICIOS,METRO,SS Y HH ,MODERNO,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,1978,1978,1179,4021,2316,13270,10660
REGION LIMA,LIMA VERTICAL,I6 ECOBESA CHINCHA Vertical,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,0,0,42,0,0,0,0
REGION LIMA,LIMA VERTICAL,26 PADEMAR MALA Vertical,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,0,0,0,0,0,0,8
